text,intent,response
Hello! How can I get started with Curify?,general_greeting,"Welcome to Curify AI Advisor! I'm here to help you with product info, orders, pricing, and AI-powered insights. How can I assist you today?"
Hi there! What does Curify do?,general_greeting,"Hi! Curify is an AI-powered advisory platform that helps you make smarter decisions. What would you like to know?"
Vanakkam! Curify pathi sollunga.,general_greeting,"Vanakkam! Curify AI Advisor ungalukku sarvīs pathi theriyappadutha idhu irukku. Edhuvum kēlungal!"
Good morning! I need some help.,general_greeting,"Good morning! Absolutely, I'm here to help. What can I assist you with today?"
Hey! Is anyone there?,general_greeting,"Hey! Yes, Curify AI Advisor is here 24/7 to assist you. What do you need help with?"
What products does Curify offer?,product_inquiry,"Curify offers three main products: (1) AI Advisor — personalized recommendations, (2) Analytics Dashboard — real-time insights, and (3) AutoReport — automated report generation. Would you like details on any?"
Tell me about the AI Advisor feature.,product_inquiry,"The AI Advisor uses machine learning to analyse your data and provide actionable recommendations. It integrates with your existing tools via API. Shall I walk you through the setup?"
Curify la enna features irukku?,product_inquiry,"Curify-la mukkiya features: AI Advisor, Smart Analytics, AutoReport, and API integrations. Edhil unakku interest irukku?"
Does Curify integrate with Google Sheets?,product_inquiry,"Yes! Curify integrates with Google Sheets, Excel, Notion, and popular CRMs via our REST API. Setup takes under 5 minutes. Want the integration guide?"
What industries does Curify support?,product_inquiry,"Curify supports retail, healthcare, finance, logistics, and education sectors. Our AI models are pre-trained for each vertical. Which industry are you in?"
How much does Curify cost?,pricing,"Curify has three plans: Starter (₹999/mo), Growth (₹2,999/mo), and Enterprise (custom). Annual billing saves 20%. Which plan fits your needs?"
Is there a free trial available?,pricing,"Yes! We offer a 14-day free trial with full access to the Growth plan features — no credit card required. Sign up at curify.ai/trial."
Curify ka price kya hai?,pricing,"Curify ke plans hain: Starter ₹999/month, Growth ₹2,999/month, Enterprise custom pricing. Annual plan pe 20% discount milta hai!"
What's included in the Enterprise plan?,pricing,"The Enterprise plan includes unlimited users, custom AI model training, dedicated support, SLA guarantee, and on-premise deployment options. Contact sales@curify.ai for a quote."
Naan student aana discount kidaikkuma?,pricing,"Students agave special 50% discount provide pannrom! Educational email (.edu or .ac.in) la register pannunga. Discount automatic-a apply aagum."
Where is my order? I placed it 3 days ago.,order_status,"I can check that for you! Please share your Order ID and I'll fetch the latest status right away."
My subscription hasn't been activated yet.,order_status,"I'm sorry for the delay! Please share your registered email and Order ID. Typical activation takes 2–4 hours. I'll escalate this for you."
Order #12345 status check panna.,order_status,"Order #12345 pathi check panren. Usually dashboard la 'My Orders' section la real-time status kaanaalam. Order ID share pannunga, naan verify panren."
I paid but didn't receive the confirmation email.,order_status,"Payment received but no confirmation? Don't worry — please check your spam folder first. If not there, share your transaction ID and I'll resend the confirmation."
When will my plan renewal happen?,order_status,"Your plan auto-renews on the billing anniversary date. You can check the exact date in Settings → Billing. Need me to help you find it?"
The AI Advisor is giving wrong recommendations.,complaint,"I sincerely apologise for this experience! Wrong recommendations are unacceptable. Please describe the specific issue with a screenshot if possible. I'm raising a high-priority ticket for our ML team."
Your dashboard keeps crashing on my browser.,complaint,"So sorry about that! Browser crashes shouldn't happen. Please tell me your browser version and OS. Meanwhile, try clearing cache or using Chrome/Firefox. I'll file a bug report immediately."
Curify app la bug irukku, fix pannunga.,complaint,"Sorry for the trouble! Bug report-a immediately ML team-kku escalate pannrom. Screen recording or screenshot irundha attach pannunga. Fix 24–48 hrs la varum."
I've been waiting 5 days for a response from support.,complaint,"That's completely unacceptable — I sincerely apologise. I'm escalating your case to our Head of Support right now and marking it URGENT. You'll receive a call within 2 hours."
The API integration is broken and costing us money.,complaint,"I understand the urgency — a broken API integration is critical. I'm immediately connecting you with our senior technical team. Please share your API endpoint and error logs."
I want a refund for my subscription.,refund_request,"I understand. Refund requests are processed within 5–7 business days. You're eligible for a full refund within 30 days of purchase. Shall I initiate the process? I'll need your Order ID."
How do I cancel my plan and get money back?,refund_request,"You can cancel anytime from Settings → Billing → Cancel Plan. If within 30 days, you'll receive a pro-rated refund. Want me to walk you through the cancellation steps?"
Paisa wapas chahiye, kaise milega?,refund_request,"Bilkul! Refund 30 din ke andar possible hai. Aapka Order ID share karein — main refund process shuru kar deta hoon. 5–7 business days mein process hoga."
My card was charged twice. I need a refund.,refund_request,"Double-charging is a serious issue — I sincerely apologise! I'm flagging this as urgent to our billing team. Please share your bank statement screenshot and registered email for fastest resolution."
Refund process eppadi panna?,refund_request,"Refund process simple: Settings → Billing → 'Request Refund' click pannunga. 30 days within irundha eligible. Order ID share pannunga, naan help panren."
What AI tools does Curify recommend for my business?,ai_advice,"Great question! Based on typical business needs, Curify recommends starting with our AI Advisor for demand forecasting and our Analytics Dashboard for KPI tracking. What's your primary business goal?"
